fecha,valor,completo_mediciones,completo_umbral
2007/01/01,0.00,100.0,100.0
2007/01/02,0.00,100.0,100.0
2007/01/03,0.00,100.0,100.0
2007/01/04,0.00,100.0,100.0
2007/01/05,0.00,100.0,100.0
2007/01/06,0.00,100.0,100.0
2007/01/07,0.00,100.0,100.0
2007/01/08,0.00,100.0,100.0
2007/01/09,6.10,100.0,100.0
2007/01/10,0.10,100.0,100.0
2007/01/11,0.00,100.0,100.0
2007/01/12,0.00,100.0,100.0
2007/01/13,0.00,100.0,100.0
2007/01/14,0.00,100.0,100.0
2007/01/15,0.00,100.0,100.0
2007/01/16,0.00,100.0,100.0
2007/01/17,1.40,100.0,100.0
2007/01/18,2.20,100.0,100.0
2007/01/19,5.80,100.0,100.0
2007/01/20,1.50,100.0,100.0
2007/01/21,0.50,100.0,100.0
2007/01/22,2.20,100.0,100.0
2007/01/23,0.00,100.0,100.0
2007/01/24,0.00,100.0,100.0
2007/01/25,19.90,100.0,100.0
2007/01/26,7.80,100.0,100.0
2007/01/27,0.30,100.0,100.0
2007/01/28,0.00,100.0,100.0
2007/01/29,0.00,100.0,100.0
2007/01/30,0.00,100.0,100.0
2007/01/31,0.00,100.0,100.0
2007/02/01,0.00,100.0,100.0
2007/02/02,0.00,100.0,100.0
2007/02/03,0.00,100.0,100.0
2007/02/04,0.00,100.0,100.0
2007/02/05,0.00,100.0,100.0
2007/02/06,0.00,100.0,100.0
2007/02/07,0.20,100.0,100.0
2007/02/08,0.00,100.0,100.0
2007/02/09,0.00,100.0,100.0
2007/02/10,0.00,100.0,100.0
2007/02/11,0.00,100.0,100.0
2007/02/12,0.00,100.0,100.0
2007/02/13,7.60,99.7,100.0
2007/02/14,4.20,100.0,100.0
2007/02/15,11.40,100.0,100.0
2007/02/16,15.10,98.3,95.8
2007/02/17,2.00,100.0,100.0
2007/02/18,0.30,100.0,100.0
2007/02/19,1.00,100.0,100.0
2007/02/20,6.80,100.0,100.0
2007/02/21,0.00,100.0,100.0
2007/02/22,0.00,100.0,100.0
2007/02/23,0.00,100.0,100.0
2007/02/24,0.00,100.0,100.0
2007/02/25,0.00,100.0,100.0
2007/02/26,0.00,100.0,100.0
2007/02/27,0.00,100.0,100.0
2007/02/28,0.00,100.0,100.0
2007/03/01,0.00,100.0,100.0
2007/03/02,0.00,100.0,100.0
2007/03/03,0.00,100.0,100.0
2007/03/04,0.00,100.0,100.0
2007/03/05,16.80,100.0,100.0
2007/03/06,1.10,100.0,100.0
2007/03/07,0.30,100.0,100.0
2007/03/08,0.10,100.0,100.0
2007/03/09,0.00,100.0,100.0
2007/03/10,0.00,100.0,100.0
2007/03/11,0.00,100.0,100.0
2007/03/12,0.00,100.0,100.0
2007/03/13,4.90,100.0,100.0
2007/03/14,17.50,100.0,100.0
2007/03/15,6.00,100.0,100.0
2007/03/16,11.00,100.0,100.0
2007/03/17,4.20,100.0,100.0
2007/03/18,3.10,100.0,100.0
2007/03/19,6.50,100.0,100.0
2007/03/20,0.70,100.0,100.0
2007/03/21,4.60,99.7,100.0
2007/03/22,11.50,100.0,100.0
2007/03/23,28.00,100.0,100.0
2007/03/24,2.80,100.0,100.0
2007/03/25,0.70,100.0,100.0
2007/03/26,0.20,100.0,100.0
2007/03/27,3.20,100.0,100.0
2007/03/28,1.60,100.0,100.0
2007/03/29,0.50,100.0,100.0
2007/03/30,0.00,100.0,100.0
2007/03/31,0.00,100.0,100.0
2007/04/01,0.00,100.0,100.0
2007/04/02,0.00,100.0,100.0
2007/04/03,1.90,100.0,100.0
2007/04/04,11.00,100.0,100.0
2007/04/05,4.30,100.0,100.0
2007/04/06,4.60,100.0,100.0
2007/04/07,8.00,100.0,100.0
2007/04/08,4.50,100.0,100.0
2007/04/09,1.70,100.0,100.0
2007/04/10,9.80,100.0,100.0
2007/04/11,0.10,100.0,100.0
2007/04/12,0.00,100.0,100.0
2007/04/13,7.40,100.0,100.0
2007/04/14,0.10,100.0,100.0
2007/04/15,0.00,100.0,100.0
2007/04/16,0.20,100.0,100.0
2007/04/17,2.40,100.0,100.0
2007/04/18,0.10,100.0,100.0
2007/04/19,14.50,100.0,100.0
2007/04/20,1.30,100.0,100.0
2007/04/21,3.40,100.0,100.0
2007/04/22,6.30,100.0,100.0
2007/04/23,10.30,100.0,100.0
2007/04/24,5.60,100.0,100.0
2007/04/25,4.30,100.0,100.0
2007/04/26,2.80,100.0,100.0
2007/04/27,1.60,100.0,100.0
2007/04/28,0.30,100.0,100.0
2007/04/29,14.80,100.0,100.0
2007/04/30,14.40,100.0,100.0
2007/05/01,0.00,100.0,100.0
2007/05/02,0.00,100.0,100.0
2007/05/03,0.70,100.0,100.0
2007/05/04,3.90,100.0,100.0
2007/05/05,0.10,100.0,100.0
2007/05/06,1.00,100.0,100.0
2007/05/07,0.10,100.0,100.0
2007/05/08,0.10,100.0,100.0
2007/05/09,0.00,100.0,100.0
2007/05/10,22.70,100.0,100.0
2007/05/11,0.00,100.0,100.0
2007/05/12,0.00,100.0,100.0
2007/05/13,0.00,100.0,100.0
2007/05/14,0.00,100.0,100.0
2007/05/15,0.00,100.0,100.0
2007/05/16,0.40,100.0,100.0
2007/05/17,1.70,100.0,100.0
2007/05/18,0.00,100.0,100.0
2007/05/19,0.00,100.0,100.0
2007/05/20,3.70,100.0,100.0
2007/05/21,1.50,100.0,100.0
2007/05/22,0.10,100.0,100.0
2007/05/23,6.00,100.0,100.0
2007/05/24,0.00,100.0,100.0
2007/05/25,0.40,100.0,100.0
2007/05/26,12.40,100.0,100.0
2007/05/27,0.20,100.0,100.0
2007/05/28,0.00,100.0,100.0
2007/05/29,6.60,100.0,100.0
2007/05/30,1.20,100.0,100.0
2007/05/31,2.00,100.0,100.0
2007/06/01,6.30,100.0,100.0
2007/06/02,5.00,100.0,100.0
2007/06/03,0.30,100.0,100.0
2007/06/04,0.00,100.0,100.0
2007/06/05,0.00,100.0,100.0
2007/06/06,0.00,100.0,100.0
2007/06/07,0.00,100.0,100.0
2007/06/08,0.10,100.0,100.0
