n,date,day-week,day-month,val,weekend,holiday,sequia,,,,,,,,,,,,,,,,,
320,16/11/2007,viernes,16,1932.71,0,0,0,,,,,,,,,,,,,,,,,
321,17/11/2007,sábado,17,1938.19,1,0,0,,,,,,,,,,,,,,,,,
322,18/11/2007,domingo,18,1854.99,1,0,0,,,,,,,,,,,,,,,,,
323,19/11/2007,lunes,19,1934.59,0,0,0,,,,,,,,,,,,,,,,,
324,20/11/2007,martes,20,2000.12,0,0,0,,,,,,,,,,,,,,,,,
325,21/11/2007,miércoles,21,1862.59,0,0,0,,,,,,,,,,,,,,,,,
326,22/11/2007,jueves,22,1887.95,0,0,0,,,,,,,,,,,,,,,,,
327,23/11/2007,viernes,23,1897.18,0,0,0,,,,,,,,,,,,,,,,,
328,24/11/2007,sábado,24,1905.32,1,0,0,,,,,,,,,,,,,,,,,
329,25/11/2007,domingo,25,1777.93,1,0,0,,,,,,,,,,,,,,,,,
330,26/11/2007,lunes,26,1850.20,0,0,0,,,,,,,,,,,,,,,,,
331,27/11/2007,martes,27,1973.35,0,0,0,,,,,,,,,,,,,,,,,
332,28/11/2007,miércoles,28,1997.79,0,0,0,,,,,,,,,,,,,,,,,
333,29/11/2007,jueves,29,1937.12,0,0,0,,,,,,,,,,,,,,,,,
334,30/11/2007,viernes,30,1936.18,0,0,0,,,,,,,,,,,,,,,,,
335,1/12/2007,sábado,1,1815.04,1,0,0,,,,,,,,,,,,,,,,,
336,2/12/2007,domingo,2,1795.56,1,0,0,,,,,,,,,,,,,,,,,
337,3/12/2007,lunes,3,1909.75,0,0,0,,,,,,,,,,,,,,,,,
338,4/12/2007,martes,4,2000.75,0,0,0,,,,,,,,,,,,,,,,,
339,5/12/2007,miércoles,5,1954.55,0,0,0,,,,,,,,,,,,,,,,,
340,6/12/2007,jueves,6,1901.91,0,1,0,,,,,,,,,,,,,,,,,
341,7/12/2007,viernes,7,2012.91,0,0,0,,,,,,,,,,,,,,,,,
342,8/12/2007,sábado,8,1858.09,1,0,0,,,,,,,,,,,,,,,,,
343,9/12/2007,domingo,9,1863.16,1,0,0,,,,,,,,,,,,,,,,,
344,10/12/2007,lunes,10,2006.94,0,0,0,,,,,,,,,,,,,,,,,
345,11/12/2007,martes,11,2060.10,0,0,0,,,,,,,,,,,,,,,,,
346,12/12/2007,miércoles,12,1987.07,0,0,0,,,,,,,,,,,,,,,,,
347,13/12/2007,jueves,13,1964.33,0,0,0,,,,,,,,,,,,,,,,,
348,14/12/2007,viernes,14,1889.05,0,0,0,,,,,,,,,,,,,,,,,
349,15/12/2007,sábado,15,1846.65,1,0,0,,,,,,,,,,,,,,,,,
350,16/12/2007,domingo,16,1795.92,1,0,0,,,,,,,,,,,,,,,,,
351,17/12/2007,lunes,17,1908.96,0,0,0,,,,,,,,,,,,,,,,,
352,18/12/2007,martes,18,1945.69,0,0,0,,,,,,,,,,,,,,,,,
353,19/12/2007,miércoles,19,2018.39,0,0,0,,,,,,,,,,,,,,,,,
354,20/12/2007,jueves,20,1948.80,0,0,0,,,,,,,,,,,,,,,,,
355,21/12/2007,viernes,21,1827.45,0,0,0,,,,,,,,,,,,,,,,,
356,22/12/2007,sábado,22,1788.40,1,0,0,,,,,,,,,,,,,,,,,
357,23/12/2007,domingo,23,1741.88,1,0,0,,,,,,,,,,,,,,,,,
358,24/12/2007,lunes,24,1788.74,0,0,0,,,,,,,,,,,,,,,,,
359,25/12/2007,martes,25,1750.95,0,1,0,,,,,,,,,,,,,,,,,
360,26/12/2007,miércoles,26,1860.55,0,0,0,,,,,,,,,,,,,,,,,
361,27/12/2007,jueves,27,1980.62,0,0,0,,,,,,,,,,,,,,,,,
362,28/12/2007,viernes,28,1971.84,0,0,0,,,,,,,,,,,,,,,,,
363,29/12/2007,sábado,29,1894.25,1,0,0,,,,,,,,,,,,,,,,,
364,30/12/2007,domingo,30,1738.66,1,0,0,,,,,,,,,,,,,,,,,
365,31/12/2007,lunes,31,1809.83,0,0,0,,,,,,,,,,,,,,,,,
366,1/1/2008,martes,1,1939.37,0,1,0,,,,,,,,,,,,,,,,,
367,2/1/2008,miércoles,2,1829.42,0,0,0,,,,,,,,,,,,,,,,,
368,3/1/2008,jueves,3,1892.47,0,0,0,,,,,,,,,,,,,,,,,
369,4/1/2008,viernes,4,1945.28,0,0,0,,,,,,,,,,,,,,,,,
370,5/1/2008,sábado,5,2004.38,1,0,0,,,,,,,,,,,,,,,,,
371,6/1/2008,domingo,6,1862.95,1,0,0,,,,,,,,,,,,,,,,,
372,7/1/2008,lunes,7,2024.38,0,0,0,,,,,,,,,,,,,,,,,
373,8/1/2008,martes,8,2016.78,0,0,0,,,,,,,,,,,,,,,,,
374,9/1/2008,miércoles,9,1883.35,0,0,0,,,,,,,,,,,,,,,,,
375,10/1/2008,jueves,10,1883.35,0,0,0,,,,,,,,,,,,,,,,,
376,11/1/2008,viernes,11,1938.48,0,0,0,,,,,,,,,,,,,,,,,
377,12/1/2008,sábado,12,1973.63,1,0,0,,,,,,,,,,,,,,,,,
378,13/1/2008,domingo,13,1890.70,1,0,0,,,,,,,,,,,,,,,,,
379,14/1/2008,lunes,14,1996.91,0,0,0,,,,,,,,,,,,,,,,,
380,15/1/2008,martes,15,1849.83,0,0,0,,,,,,,,,,,,,,,,,
381,16/1/2008,miércoles,16,1817.96,0,0,0,,,,,,,,,,,,,,,,,
382,17/1/2008,jueves,17,1875.47,0,0,0,,,,,,,,,,,,,,,,,
383,18/1/2008,viernes,18,1891.82,0,0,0,,,,,,,,,,,,,,,,,
384,19/1/2008,sábado,19,1909.95,1,0,0,,,,,,,,,,,,,,,,,
385,20/1/2008,domingo,20,1890.79,1,0,0,,,,,,,,,,,,,,,,,
386,21/1/2008,lunes,21,1861.56,0,0,0,,,,,,,,,,,,,,,,,
387,22/1/2008,martes,22,1933.50,0,0,0,,,,,,,,,,,,,,,,,
388,23/1/2008,miércoles,23,1900.70,0,0,0,,,,,,,,,,,,,,,,,
389,24/1/2008,jueves,24,2001.25,0,0,0,,,,,,,,,,,,,,,,,
390,25/1/2008,viernes,25,1995.35,0,0,0,,,,,,,,,,,,,,,,,
391,26/1/2008,sábado,26,1965.95,1,0,0,,,,,,,,,,,,,,,,,
392,27/1/2008,domingo,27,1782.86,1,0,0,,,,,,,,,,,,,,,,,
393,28/1/2008,lunes,28,1931.21,0,0,0,,,,,,,,,,,,,,,,,
394,29/1/2008,martes,29,1898.18,0,0,0,,,,,,,,,,,,,,,,,
395,30/1/2008,miércoles,30,2085.67,0,0,0,,,,,,,,,,,,,,,,,
396,31/1/2008,jueves,31,1965.95,0,0,0,,,,,,,,,,,,,,,,,
397,1/2/2008,viernes,1,2001.23,0,0,0,,,,,,,,,,,,,,,,,
398,2/2/2008,sábado,2,1947.78,1,0,0,,,,,,,,,,,,,,,,,
399,3/2/2008,domingo,3,1885.50,1,0,0,,,,,,,,,,,,,,,,,
400,4/2/2008,lunes,4,1912.98,0,1,0,,,,,,,,,,,,,,,,,
401,5/2/2008,martes,5,1858.72,0,1,0,,,,,,,,,,,,,,,,,
402,6/2/2008,miércoles,6,2051.44,0,0,0,,,,,,,,,,,,,,,,,
403,7/2/2008,jueves,7,2007.45,0,0,0,,,,,,,,,,,,,,,,,
404,8/2/2008,viernes,8,2015.06,0,0,0,,,,,,,,,,,,,,,,,
405,9/2/2008,sábado,9,1925.40,1,0,0,,,,,,,,,,,,,,,,,
406,10/2/2008,domingo,10,1925.40,1,0,0,,,,,,,,,,,,,,,,,
407,11/2/2008,lunes,11,2025.15,0,0,0,,,,,,,,,,,,,,,,,
408,12/2/2008,martes,12,2008.38,0,0,0,,,,,,,,,,,,,,,,,
409,13/2/2008,miércoles,13,1827.54,0,0,0,,,,,,,,,,,,,,,,,
410,14/2/2008,jueves,14,1842.18,0,0,0,,,,,,,,,,,,,,,,,
411,15/2/2008,viernes,15,2016.24,0,0,0,,,,,,,,,,,,,,,,,
412,16/2/2008,sábado,16,1919.41,1,0,0,,,,,,,,,,,,,,,,,
413,17/2/2008,domingo,17,1848.41,1,0,0,,,,,,,,,,,,,,,,,
414,18/2/2008,lunes,18,1930.12,0,0,0,,,,,,,,,,,,,,,,,
415,19/2/2008,martes,19,2117.77,0,0,0,,,,,,,,,,,,,,,,,
416,20/2/2008,miércoles,20,2075.97,0,0,0,,,,,,,,,,,,,,,,,
417,21/2/2008,jueves,21,2004.05,0,0,0,,,,,,,,,,,,,,,,,
418,22/2/2008,viernes,22,2137.56,0,0,0,,,,,,,,,,,,,,,,,
419,23/2/2008,sábado,23,2053.26,1,0,0,,,,,,,,,,,,,,,,,
420,24/2/2008,domingo,24,1882.68,1,0,0,,,,,,,,,,,,,,,,,
421,25/2/2008,lunes,25,1783.67,0,0,0,,,,,,,,,,,,,,,,,
422,26/2/2008,martes,26,1947.42,0,0,0,,,,,,,,,,,,,,,,,
423,27/2/2008,miércoles,27,2255.13,0,0,0,,,,,,,,,,,,,,,,,
424,28/2/2008,jueves,28,1749.69,0,0,0,,,,,,,,,,,,,,,,,
425,29/2/2008,viernes,29,1607.40,0,0,0,,,,,,,,,,,,,,,,,
426,1/3/2008,sábado,1,2008.41,1,0,0,,,,,,,,,,,,,,,,,
427,2/3/2008,domingo,2,1836.16,1,0,0,,,,,,,,,,,,,,,,,
428,3/3/2008,lunes,3,1955.65,0,0,0,,,,,,,,,,,,,,,,,
429,4/3/2008,martes,4,1961.39,0,0,0,,,,,,,,,,,,,,,,,
430,5/3/2008,miércoles,5,2144.70,0,0,0,,,,,,,,,,,,,,,,,
431,6/3/2008,jueves,6,2002.73,0,0,0,,,,,,,,,,,,,,,,,
432,7/3/2008,viernes,7,1868.76,0,0,0,,,,,,,,,,,,,,,,,
433,8/3/2008,sábado,8,1953.25,1,0,0,,,,,,,,,,,,,,,,,
434,9/3/2008,domingo,9,1820.76,1,0,0,,,,,,,,,,,,,,,,,
435,10/3/2008,lunes,10,1820.76,0,0,0,,,,,,,,,,,,,,,,,
436,11/3/2008,martes,11,1988.62,0,0,0,,,,,,,,,,,,,,,,,
437,12/3/2008,miércoles,12,1945.81,0,0,0,,,,,,,,,,,,,,,,,
438,13/3/2008,jueves,13,2229.98,0,0,0,,,,,,,,,,,,,,,,,
439,14/3/2008,viernes,14,1897.56,0,0,0,,,,,,,,,,,,,,,,,
440,15/3/2008,sábado,15,1828.32,1,0,0,,,,,,,,,,,,,,,,,
441,16/3/2008,domingo,16,1909.13,1,0,0,,,,,,,,,,,,,,,,,
442,17/3/2008,lunes,17,2066.48,0,0,0,,,,,,,,,,,,,,,,,
443,18/3/2008,martes,18,2270.88,0,0,0,,,,,,,,,,,,,,,,,
444,19/3/2008,miércoles,19,1981.22,0,0,0,,,,,,,,,,,,,,,,,
445,20/3/2008,jueves,20,2011.24,0,0,0,,,,,,,,,,,,,,,,,
446,21/3/2008,viernes,21,1799.71,0,1,0,,,,,,,,,,,,,,,,,
447,22/3/2008,sábado,22,1932.78,1,0,0,,,,,,,,,,,,,,,,,
448,23/3/2008,domingo,23,1882.11,1,0,0,,,,,,,,,,,,,,,,,
449,24/3/2008,lunes,24,2136.86,0,0,0,,,,,,,,,,,,,,,,,
450,25/3/2008,martes,25,2088.70,0,0,0,,,,,,,,,,,,,,,,,
451,26/3/2008,miércoles,26,2179.94,0,0,0,,,,,,,,,,,,,,,,,
452,27/3/2008,jueves,27,2116.36,0,0,0,,,,,,,,,,,,,,,,,
453,28/3/2008,viernes,28,2030.25,0,0,0,,,,,,,,,,,,,,,,,
454,29/3/2008,sábado,29,2136.03,1,0,0,,,,,,,,,,,,,,,,,
455,30/3/2008,domingo,30,1953.48,1,0,0,,,,,,,,,,,,,,,,,
456,31/3/2008,lunes,31,2102.01,0,0,0,,,,,,,,,,,,,,,,,
457,1/4/2008,martes,1,2123.28,0,0,0,,,,,,,,,,,,,,,,,
458,2/4/2008,miércoles,2,2080.58,0,0,0,,,,,,,,,,,,,,,,,
459,3/4/2008,jueves,3,2043.20,0,0,0,,,,,,,,,,,,,,,,,
460,4/4/2008,viernes,4,2143.86,0,0,0,,,,,,,,,,,,,,,,,
461,5/4/2008,sábado,5,2145.18,1,0,0,,,,,,,,,,,,,,,,,
462,6/4/2008,domingo,6,1837.51,1,0,0,,,,,,,,,,,,,,,,,
463,7/4/2008,lunes,7,2133.88,0,0,0,,,,,,,,,,,,,,,,,
464,8/4/2008,martes,8,2051.39,0,0,0,,,,,,,,,,,,,,,,,
465,9/4/2008,miércoles,9,2046.80,0,0,0,,,,,,,,,,,,,,,,,
466,10/4/2008,jueves,10,2069.93,0,0,0,,,,,,,,,,,,,,,,,
467,11/4/2008,viernes,11,2210.15,0,0,0,,,,,,,,,,,,,,,,,
468,12/4/2008,sábado,12,2091.02,1,0,0,,,,,,,,,,,,,,,,,
469,13/4/2008,domingo,13,1963.40,1,0,0,,,,,,,,,,,,,,,,,
470,14/4/2008,lunes,14,2052.18,0,0,0,,,,,,,,,,,,,,,,,
471,15/4/2008,martes,15,1991.24,0,0,0,,,,,,,,,,,,,,,,,
472,16/4/2008,miércoles,16,2057.07,0,0,0,,,,,,,,,,,,,,,,,
473,17/4/2008,jueves,17,2075.16,0,0,0,,,,,,,,,,,,,,,,,
474,18/4/2008,viernes,18,2213.61,0,0,0,,,,,,,,,,,,,,,,,
475,19/4/2008,sábado,19,2041.63,1,0,0,,,,,,,,,,,,,,,,,
476,20/4/2008,domingo,20,1962.59,1,0,0,,,,,,,,,,,,,,,,,
477,21/4/2008,lunes,21,2084.18,0,0,0,,,,,,,,,,,,,,,,,
478,22/4/2008,martes,22,2070.50,0,0,0,,,,,,,,,,,,,,,,,
479,23/4/2008,miércoles,23,2036.53,0,0,0,,,,,,,,,,,,,,,,,
480,24/4/2008,jueves,24,2064.68,0,0,0,,,,,,,,,,,,,,,,,
481,25/4/2008,viernes,25,2007.82,0,0,0,,,,,,,,,,,,,,,,,
482,26/4/2008,sábado,26,1944.08,1,0,0,,,,,,,,,,,,,,,,,
483,27/4/2008,domingo,27,1973.26,1,0,0,,,,,,,,,,,,,,,,,
484,28/4/2008,lunes,28,2053.77,0,0,0,,,,,,,,,,,,,,,,,
485,29/4/2008,martes,29,2092.42,0,0,0,,,,,,,,,,,,,,,,,
486,30/4/2008,miércoles,30,2174.49,0,0,0,,,,,,,,,,,,,,,,,
487,1/5/2008,jueves,1,1947.97,0,1,0,,,,,,,,,,,,,,,,,
488,2/5/2008,viernes,2,1973.99,0,0,0,,,,,,,,,,,,,,,,,
489,3/5/2008,sábado,3,1901.71,1,0,0,,,,,,,,,,,,,,,,,
490,4/5/2008,domingo,4,1780.57,1,0,0,,,,,,,,,,,,,,,,,
491,5/5/2008,lunes,5,2154.24,0,0,0,,,,,,,,,,,,,,,,,
492,6/5/2008,martes,6,2093.42,0,0,0,,,,,,,,,,,,,,,,,
493,7/5/2008,miércoles,7,2076.73,0,0,0,,,,,,,,,,,,,,,,,
494,8/5/2008,jueves,8,2046.33,0,0,0,,,,,,,,,,,,,,,,,
495,9/5/2008,viernes,9,1986.10,0,0,0,,,,,,,,,,,,,,,,,
496,10/5/2008,sábado,10,1986.10,1,0,0,,,,,,,,,,,,,,,,,
497,11/5/2008,domingo,11,1817.12,1,0,0,,,,,,,,,,,,,,,,,
498,12/5/2008,lunes,12,1874.67,0,0,0,,,,,,,,,,,,,,,,,
499,13/5/2008,martes,13,2101.41,0,0,0,,,,,,,,,,,,,,,,,
500,14/5/2008,miércoles,14,2081.41,0,0,0,,,,,,,,,,,,,,,,,
501,15/5/2008,jueves,15,1883.77,0,0,0,,,,,,,,,,,,,,,,,
502,16/5/2008,viernes,16,1955.41,0,0,0,,,,,,,,,,,,,,,,,
503,17/5/2008,sábado,17,1852.59,1,0,0,,,,,,,,,,,,,,,,,
504,18/5/2008,domingo,18,1886.13,1,0,0,,,,,,,,,,,,,,,,,
505,19/5/2008,lunes,19,2053.56,0,0,0,,,,,,,,,,,,,,,,,
506,20/5/2008,martes,20,2024.83,0,0,0,,,,,,,,,,,,,,,,,
507,21/5/2008,miércoles,21,1998.61,0,0,0,,,,,,,,,,,,,,,,,
508,22/5/2008,jueves,22,1892.30,0,0,0,,,,,,,,,,,,,,,,,
509,23/5/2008,viernes,23,2039.59,0,0,0,,,,,,,,,,,,,,,,,
510,24/5/2008,sábado,24,1957.34,1,1,0,,,,,,,,,,,,,,,,,
511,25/5/2008,domingo,25,1841.86,1,0,0,,,,,,,,,,,,,,,,,
512,26/5/2008,lunes,26,2213.26,0,0,0,,,,,,,,,,,,,,,,,
513,27/5/2008,martes,27,1967.48,0,0,0,,,,,,,,,,,,,,,,,
514,28/5/2008,miércoles,28,1975.47,0,0,0,,,,,,,,,,,,,,,,,
515,29/5/2008,jueves,29,1830.90,0,0,0,,,,,,,,,,,,,,,,,
516,30/5/2008,viernes,30,1892.83,0,0,0,,,,,,,,,,,,,,,,,
517,31/5/2008,sábado,31,1888.57,1,0,0,,,,,,,,,,,,,,,,,
518,1/6/2008,domingo,1,1698.17,1,0,1,,,,,,,,,,,,,,,,,
519,2/6/2008,lunes,2,1947.08,0,0,1,,,,,,,,,,,,,,,,,
520,3/6/2008,martes,3,1956.22,0,0,1,,,,,,,,,,,,,,,,,
521,4/6/2008,miércoles,4,1988.31,0,0,1,,,,,,,,,,,,,,,,,
522,5/6/2008,jueves,5,2004.47,0,0,1,,,,,,,,,,,,,,,,,
523,6/6/2008,viernes,6,1903.97,0,0,1,,,,,,,,,,,,,,,,,
524,7/6/2008,sábado,7,1886.56,1,0,1,,,,,,,,,,,,,,,,,
525,8/6/2008,domingo,8,1894.07,1,0,1,,,,,,,,,,,,,,,,,
526,9/6/2008,lunes,9,1995.74,0,0,1,,,,,,,,,,,,,,,,,
527,10/6/2008,martes,10,1995.74,0,0,1,,,,,,,,,,,,,,,,,
528,11/6/2008,miércoles,11,2004.16,0,0,1,,,,,,,,,,,,,,,,,
529,12/6/2008,jueves,12,1997.66,0,0,1,,,,,,,,,,,,,,,,,
530,13/6/2008,viernes,13,2078.78,0,0,1,,,,,,,,,,,,,,,,,
531,14/6/2008,sábado,14,1881.30,1,0,1,,,,,,,,,,,,,,,,,
532,15/6/2008,domingo,15,1718.61,1,0,1,,,,,,,,,,,,,,,,,
533,16/6/2008,lunes,16,1854.29,0,0,1,,,,,,,,,,,,,,,,,
534,17/6/2008,martes,17,1877.94,0,0,1,,,,,,,,,,,,,,,,,
535,18/6/2008,miércoles,18,1849.02,0,0,1,,,,,,,,,,,,,,,,,
536,19/6/2008,jueves,19,1776.99,0,0,1,,,,,,,,,,,,,,,,,
537,20/6/2008,viernes,20,1820.01,0,0,1,,,,,,,,,,,,,,,,,
538,21/6/2008,sábado,21,1877.20,1,0,1,,,,,,,,,,,,,,,,,
539,22/6/2008,domingo,22,1770.28,1,0,1,,,,,,,,,,,,,,,,,
540,23/6/2008,lunes,23,1932.37,0,0,1,,,,,,,,,,,,,,,,,
541,24/6/2008,martes,24,1943.30,0,0,1,,,,,,,,,,,,,,,,,
542,25/6/2008,miércoles,25,1926.59,0,0,1,,,,,,,,,,,,,,,,,
543,26/6/2008,jueves,26,1926.37,0,0,1,,,,,,,,,,,,,,,,,
544,27/6/2008,viernes,27,1858.79,0,0,1,,,,,,,,,,,,,,,,,
545,28/6/2008,sábado,28,1781.58,1,0,1,,,,,,,,,,,,,,,,,
546,29/6/2008,domingo,29,1746.83,1,0,1,,,,,,,,,,,,,,,,,
547,30/6/2008,lunes,30,1963.44,0,0,1,,,,,,,,,,,,,,,,,
548,1/7/2008,martes,1,1904.22,0,0,1,,,,,,,,,,,,,,,,,
549,2/7/2008,miércoles,2,1847.54,0,0,1,,,,,,,,,,,,,,,,,
550,3/7/2008,jueves,3,1999.29,0,0,1,,,,,,,,,,,,,,,,,
551,4/7/2008,viernes,4,1884.20,0,0,1,,,,,,,,,,,,,,,,,
552,5/7/2008,sábado,5,1847.75,1,0,1,,,,,,,,,,,,,,,,,
553,6/7/2008,domingo,6,1910.41,1,0,1,,,,,,,,,,,,,,,,,
554,7/7/2008,lunes,7,1729.95,0,0,1,,,,,,,,,,,,,,,,,
555,8/7/2008,martes,8,1958.97,0,0,1,,,,,,,,,,,,,,,,,
556,9/7/2008,miércoles,9,1932.94,0,0,1,,,,,,,,,,,,,,,,,
557,10/7/2008,jueves,10,1932.94,0,0,1,,,,,,,,,,,,,,,,,
558,11/7/2008,viernes,11,2010.82,0,0,1,,,,,,,,,,,,,,,,,
559,12/7/2008,sábado,12,1847.76,1,0,1,,,,,,,,,,,,,,,,,
560,13/7/2008,domingo,13,1776.36,1,0,1,,,,,,,,,,,,,,,,,
561,14/7/2008,lunes,14,1930.78,0,0,1,,,,,,,,,,,,,,,,,
562,15/7/2008,martes,15,2087.41,0,0,1,,,,,,,,,,,,,,,,,
563,16/7/2008,miércoles,16,2011.77,0,0,1,,,,,,,,,,,,,,,,,
564,17/7/2008,jueves,17,2065.46,0,0,1,,,,,,,,,,,,,,,,,
565,18/7/2008,viernes,18,1947.51,0,0,1,,,,,,,,,,,,,,,,,
566,19/7/2008,sábado,19,1876.40,1,0,1,,,,,,,,,,,,,,,,,
567,20/7/2008,domingo,20,1768.86,1,0,1,,,,,,,,,,,,,,,,,
568,21/7/2008,lunes,21,1931.53,0,0,1,,,,,,,,,,,,,,,,,
569,22/7/2008,martes,22,1876.33,0,0,1,,,,,,,,,,,,,,,,,
570,23/7/2008,miércoles,23,2012.96,0,0,1,,,,,,,,,,,,,,,,,
571,24/7/2008,jueves,24,2079.62,0,0,1,,,,,,,,,,,,,,,,,
572,25/7/2008,viernes,25,2021.27,0,0,1,,,,,,,,,,,,,,,,,
573,26/7/2008,sábado,26,1943.60,1,0,1,,,,,,,,,,,,,,,,,
574,27/7/2008,domingo,27,1783.86,1,0,1,,,,,,,,,,,,,,,,,
575,28/7/2008,lunes,28,1930.04,0,0,1,,,,,,,,,,,,,,,,,
576,29/7/2008,martes,29,2041.60,0,0,1,,,,,,,,,,,,,,,,,
577,30/7/2008,miércoles,30,2010.59,0,0,1,,,,,,,,,,,,,,,,,
578,31/7/2008,jueves,31,2051.31,0,0,1,,,,,,,,,,,,,,,,,
579,1/8/2008,viernes,1,2102.59,0,0,1,,,,,,,,,,,,,,,,,
580,2/8/2008,sábado,2,1870.65,1,0,1,,,,,,,,,,,,,,,,,
581,3/8/2008,domingo,3,1769.40,1,0,1,,,,,,,,,,,,,,,,,
582,4/8/2008,lunes,4,2006.68,0,0,1,,,,,,,,,,,,,,,,,
583,5/8/2008,martes,5,2133.22,0,0,1,,,,,,,,,,,,,,,,,
584,6/8/2008,miércoles,6,2098.10,0,0,1,,,,,,,,,,,,,,,,,
585,7/8/2008,jueves,7,2077.80,0,0,1,,,,,,,,,,,,,,,,,
586,8/8/2008,viernes,8,1948.88,0,0,1,,,,,,,,,,,,,,,,,
587,9/8/2008,sábado,9,1975.43,1,0,1,,,,,,,,,,,,,,,,,
588,10/8/2008,domingo,10,1975.43,1,1,1,,,,,,,,,,,,,,,,,
589,11/8/2008,lunes,11,1944.03,0,0,1,,,,,,,,,,,,,,,,,
590,12/8/2008,martes,12,2017.97,0,0,1,,,,,,,,,,,,,,,,,
591,13/8/2008,miércoles,13,1997.74,0,0,1,,,,,,,,,,,,,,,,,
592,14/8/2008,jueves,14,2038.06,0,0,1,,,,,,,,,,,,,,,,,
593,15/8/2008,viernes,15,2048.69,0,0,1,,,,,,,,,,,,,,,,,
594,16/8/2008,sábado,16,1911.74,1,0,1,,,,,,,,,,,,,,,,,
595,17/8/2008,domingo,17,1745.22,1,0,1,,,,,,,,,,,,,,,,,
596,18/8/2008,lunes,18,1763.06,0,0,1,,,,,,,,,,,,,,,,,
597,19/8/2008,martes,19,1783.82,0,0,1,,,,,,,,,,,,,,,,,
598,20/8/2008,miércoles,20,2014.64,0,0,1,,,,,,,,,,,,,,,,,
599,21/8/2008,jueves,21,1973.16,0,0,1,,,,,,,,,,,,,,,,,
600,22/8/2008,viernes,22,1905.33,0,0,1,,,,,,,,,,,,,,,,,
601,23/8/2008,sábado,23,1916.99,1,0,1,,,,,,,,,,,,,,,,,
602,24/8/2008,domingo,24,1748.02,1,0,1,,,,,,,,,,,,,,,,,
603,25/8/2008,lunes,25,1913.68,0,0,1,,,,,,,,,,,,,,,,,
604,26/8/2008,martes,26,1850.30,0,0,1,,,,,,,,,,,,,,,,,
605,27/8/2008,miércoles,27,1928.56,0,0,1,,,,,,,,,,,,,,,,,
606,28/8/2008,jueves,28,1943.40,0,0,1,,,,,,,,,,,,,,,,,
607,29/8/2008,viernes,29,1842.18,0,0,1,,,,,,,,,,,,,,,,,
608,30/8/2008,sábado,30,1808.74,1,0,1,,,,,,,,,,,,,,,,,
609,31/8/2008,domingo,31,1744.02,1,0,1,,,,,,,,,,,,,,,,,
610,1/9/2008,lunes,1,1834.29,0,0,1,,,,,,,,,,,,,,,,,
611,2/9/2008,martes,2,1968.64,0,0,1,,,,,,,,,,,,,,,,,
612,3/9/2008,miércoles,3,1876.42,0,0,1,,,,,,,,,,,,,,,,,
613,4/9/2008,jueves,4,1887.79,0,0,1,,,,,,,,,,,,,,,,,
614,5/9/2008,viernes,5,1930.47,0,0,1,,,,,,,,,,,,,,,,,
615,6/9/2008,sábado,6,1952.65,1,0,1,,,,,,,,,,,,,,,,,
616,7/9/2008,domingo,7,1982.18,1,0,1,,,,,,,,,,,,,,,,,
617,8/9/2008,lunes,8,1750.34,0,0,1,,,,,,,,,,,,,,,,,
618,9/9/2008,martes,9,1923.92,0,0,1,,,,,,,,,,,,,,,,,
619,10/9/2008,miércoles,10,1923.92,0,0,1,,,,,,,,,,,,,,,,,
620,11/9/2008,jueves,11,2064.66,0,0,1,,,,,,,,,,,,,,,,,
621,12/9/2008,viernes,12,2027.90,0,0,1,,,,,,,,,,,,,,,,,
622,13/9/2008,sábado,13,2023.71,1,0,1,,,,,,,,,,,,,,,,,
623,14/9/2008,domingo,14,1916.39,1,0,1,,,,,,,,,,,,,,,,,
624,15/9/2008,lunes,15,1934.25,0,0,1,,,,,,,,,,,,,,,,,
625,16/9/2008,martes,16,1923.81,0,0,1,,,,,,,,,,,,,,,,,
626,17/9/2008,miércoles,17,1955.34,0,0,1,,,,,,,,,,,,,,,,,
627,18/9/2008,jueves,18,2050.33,0,0,1,,,,,,,,,,,,,,,,,
628,19/9/2008,viernes,19,1979.18,0,0,1,,,,,,,,,,,,,,,,,
629,20/9/2008,sábado,20,1988.18,1,0,1,,,,,,,,,,,,,,,,,
630,21/9/2008,domingo,21,1730.18,1,0,1,,,,,,,,,,,,,,,,,
631,22/9/2008,lunes,22,1791.71,0,0,1,,,,,,,,,,,,,,,,,
632,23/9/2008,martes,23,2019.93,0,0,1,,,,,,,,,,,,,,,,,
633,24/9/2008,miércoles,24,2010.66,0,0,1,,,,,,,,,,,,,,,,,
634,25/9/2008,jueves,25,1972.48,0,0,1,,,,,,,,,,,,,,,,,
635,26/9/2008,viernes,26,1980.41,0,0,1,,,,,,,,,,,,,,,,,
636,27/9/2008,sábado,27,1873.12,1,0,1,,,,,,,,,,,,,,,,,
637,28/9/2008,domingo,28,1706.78,1,0,1,,,,,,,,,,,,,,,,,
638,29/9/2008,lunes,29,1857.40,0,0,1,,,,,,,,,,,,,,,,,
639,30/9/2008,martes,30,1773.94,0,0,1,,,,,,,,,,,,,,,,,
640,1/10/2008,miércoles,1,1828.26,0,0,0,,,,,,,,,,,,,,,,,
641,2/10/2008,jueves,2,1840.11,0,0,0,,,,,,,,,,,,,,,,,
642,3/10/2008,viernes,3,1919.59,0,0,0,,,,,,,,,,,,,,,,,
643,4/10/2008,sábado,4,1904.82,1,0,0,,,,,,,,,,,,,,,,,
