n,date,day-week,day-month,val,weekend,holiday,sequia,,,,,,,,,,,,,,,,,
74,15/3/2007,jueves,15,2223.22,0,0,0,,,,,,,,,,,,,,,,,
75,16/3/2007,viernes,16,2288.41,0,0,0,,,,,,,,,,,,,,,,,
76,17/3/2007,sábado,17,2313.89,1,0,0,,,,,,,,,,,,,,,,,
77,18/3/2007,domingo,18,2328.79,1,0,0,,,,,,,,,,,,,,,,,
78,19/3/2007,lunes,19,2266.30,0,0,0,,,,,,,,,,,,,,,,,
79,20/3/2007,martes,20,2050.30,0,0,0,,,,,,,,,,,,,,,,,
80,21/3/2007,miércoles,21,1890.69,0,0,0,,,,,,,,,,,,,,,,,
81,22/3/2007,jueves,22,1902.03,0,0,0,,,,,,,,,,,,,,,,,
82,23/3/2007,viernes,23,1899.14,0,0,0,,,,,,,,,,,,,,,,,
83,24/3/2007,sábado,24,1964.72,1,0,0,,,,,,,,,,,,,,,,,
84,25/3/2007,domingo,25,1943.46,1,0,0,,,,,,,,,,,,,,,,,
85,26/3/2007,lunes,26,1924.23,0,0,0,,,,,,,,,,,,,,,,,
86,27/3/2007,martes,27,2016.13,0,0,0,,,,,,,,,,,,,,,,,
87,28/3/2007,miércoles,28,2184.39,0,0,0,,,,,,,,,,,,,,,,,
88,29/3/2007,jueves,29,2253.13,0,0,0,,,,,,,,,,,,,,,,,
89,30/3/2007,viernes,30,2095.89,0,0,0,,,,,,,,,,,,,,,,,
90,31/3/2007,sábado,31,2169.27,1,0,0,,,,,,,,,,,,,,,,,
91,1/4/2007,domingo,1,2148.55,1,0,0,,,,,,,,,,,,,,,,,
92,2/4/2007,lunes,2,2229.54,0,0,0,,,,,,,,,,,,,,,,,
93,3/4/2007,martes,3,2163.42,0,0,0,,,,,,,,,,,,,,,,,
94,4/4/2007,miércoles,4,2127.81,0,0,0,,,,,,,,,,,,,,,,,
95,5/4/2007,jueves,5,2130.75,0,0,0,,,,,,,,,,,,,,,,,
96,6/4/2007,viernes,6,1882.10,0,1,0,,,,,,,,,,,,,,,,,
97,7/4/2007,sábado,7,1963.67,1,0,0,,,,,,,,,,,,,,,,,
98,8/4/2007,domingo,8,1943.03,1,0,0,,,,,,,,,,,,,,,,,
99,9/4/2007,lunes,9,2016.56,0,0,0,,,,,,,,,,,,,,,,,
100,10/4/2007,martes,10,2061.89,0,0,0,,,,,,,,,,,,,,,,,
101,11/4/2007,miércoles,11,2154.01,0,0,0,,,,,,,,,,,,,,,,,
102,12/4/2007,jueves,12,2094.78,0,0,0,,,,,,,,,,,,,,,,,
103,13/4/2007,viernes,13,1997.94,0,0,0,,,,,,,,,,,,,,,,,
104,14/4/2007,sábado,14,2047.52,1,0,0,,,,,,,,,,,,,,,,,
105,15/4/2007,domingo,15,1717.61,1,0,0,,,,,,,,,,,,,,,,,
106,16/4/2007,lunes,16,2098.90,0,0,0,,,,,,,,,,,,,,,,,
107,17/4/2007,martes,17,2044.92,0,0,0,,,,,,,,,,,,,,,,,
108,18/4/2007,miércoles,18,2130.54,0,0,0,,,,,,,,,,,,,,,,,
109,19/4/2007,jueves,19,2018.13,0,0,0,,,,,,,,,,,,,,,,,
110,20/4/2007,viernes,20,2022.21,0,0,0,,,,,,,,,,,,,,,,,
111,21/4/2007,sábado,21,2097.20,1,0,0,,,,,,,,,,,,,,,,,
112,22/4/2007,domingo,22,2014.51,1,0,0,,,,,,,,,,,,,,,,,
113,23/4/2007,lunes,23,2042.40,0,0,0,,,,,,,,,,,,,,,,,
114,24/4/2007,martes,24,2062.65,0,0,0,,,,,,,,,,,,,,,,,
115,25/4/2007,miércoles,25,2019.09,0,0,0,,,,,,,,,,,,,,,,,
116,26/4/2007,jueves,26,2088.88,0,0,0,,,,,,,,,,,,,,,,,
117,27/4/2007,viernes,27,1970.44,0,0,0,,,,,,,,,,,,,,,,,
118,28/4/2007,sábado,28,2049.43,1,0,0,,,,,,,,,,,,,,,,,
119,29/4/2007,domingo,29,2110.94,1,0,0,,,,,,,,,,,,,,,,,
120,30/4/2007,lunes,30,1749.29,0,0,0,,,,,,,,,,,,,,,,,
121,1/5/2007,martes,1,2081.10,0,1,0,,,,,,,,,,,,,,,,,
122,2/5/2007,miércoles,2,2141.77,0,0,0,,,,,,,,,,,,,,,,,
123,3/5/2007,jueves,3,2187.72,0,0,0,,,,,,,,,,,,,,,,,
124,4/5/2007,viernes,4,2181.22,0,0,0,,,,,,,,,,,,,,,,,
